file,Essay Type,Country,TOEFL,,Edited?,ID,Elaboration N,Elaboration %,Same-Unit N,Same-Unit %,Attribution N,Attribution %,Joint N,Joint %,Enablement N,Enablement %,Background N,Background %,Comparison N,Comparison %,Contrast N,Contrast %,Manner-Means N,Manner-Means %,Temporal N,Temporal %,Condition N,Condition %,Summary N,Summary %,Cause N,Cause %,Topic-Comment N,Topic-Comment %,Evaluation N,Evaluation %,Explanation N,Explanation %,Textual-Organization N,Textual-Organization %,Topic-Change N,Topic-Change %,total lines
105_AR_F_USA_NA_NA_10764_NAU.txt.json,Argumentative,USA,NA,C2,F,10764,199,0.64,3,0.01,33,0.11,26,0.08,8,0.03,9,0.03,3,0.01,6,0.02,0,0,7,0.02,3,0.01,0,0,1,0,0,0,0,0,13,0.04,0,0,0,0,311
106i_AR_F_NA_1_M_10660_PRD.txt.json,Argumentative,NA,100,B2,1,10660,182,0.68,20,0.07,9,0.03,18,0.07,5,0.02,4,0.01,0,0,12,0.04,0,0,2,0.01,8,0.03,1,0,0,0,0,0,1,0,7,0.03,0,0,0,0,269
105_AR_F_NAN_NA_NA_10555_NAU.txt.json,Argumentative,NAN,NA,A2,F,10555,325,0.72,36,0.08,8,0.02,34,0.08,6,0.01,7,0.02,3,0.01,8,0.02,0,0,2,0,4,0.01,1,0,3,0.01,0,0,0,0,15,0.03,0,0,0,0,452
105_AR_F_NAN_NA_NA_10571_NAU.txt.json,Argumentative,NAN,NA,A2,F,10571,230,0.6,21,0.06,37,0.1,33,0.09,5,0.01,24,0.06,0,0,10,0.03,0,0,1,0,5,0.01,0,0,4,0.01,0,0,0,0,11,0.03,0,0,0,0,381
106i_AR_F_IND_1_F_10407_PRD.txt.json,Argumentative,IND,NA,A2,1,10407,175,0.74,10,0.04,14,0.06,14,0.06,1,0,4,0.02,0,0,8,0.03,0,0,1,0,2,0.01,3,0.01,1,0,0,0,0,0,4,0.02,0,0,0,0,237
106i_AR_F_CHN_1_M_10532_PRD.txt.json,Argumentative,CHN,96,B2,1,10532,127,0.56,11,0.05,22,0.1,33,0.14,4,0.02,3,0.01,0,0,7,0.03,0,0,1,0,2,0.01,1,0,9,0.04,0,0,0,0,8,0.04,0,0,0,0,228
106i_AR_F_CHN_1_F_10203_PRD.txt.json,Argumentative,CHN,94,B2,1,10203,103,0.61,22,0.13,12,0.07,18,0.11,2,0.01,2,0.01,2,0.01,5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.01,0,0,0,0,168
106i_AR_F_IND_1_F_10400_PRD.txt.json,Argumentative,IND,NA,A2,1,10400,148,0.64,18,0.08,8,0.03,30,0.13,4,0.02,11,0.05,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11,0.05,0,0,0,0,232
106i_AR_1_TWN_1_M_10394_PRD.txt.json,Argumentative,TWN,102,B2,1,10394,82,0.48,14,0.08,16,0.09,16,0.09,7,0.04,8,0.05,0,0,6,0.04,0,0,0,0,1,0.01,0,0,4,0.02,0,0,0,0,16,0.09,0,0,0,0,170
106i_AR_1_CHN_1_M_10015_PRD.txt.json,Argumentative,CHN,97,B2,1,10015,57,0.61,2,0.02,6,0.06,10,0.11,2,0.02,1,0.01,0,0,0,0,0,0,0,0,3,0.03,0,0,1,0.01,0,0,0,0,12,0.13,0,0,0,0,94
106i_AR_1_CHN_1_F_10222_PRD.txt.json,Argumentative,CHN,87,B1_2,1,10222,104,0.57,28,0.15,17,0.09,8,0.04,2,0.01,7,0.04,1,0.01,5,0.03,0,0,0,0,3,0.02,0,0,2,0.01,0,0,0,0,5,0.03,0,0,0,0,182
106i_AR_1_TWN_1_F_11094_PRD.txt.json,Argumentative,TWN,96,B2,1,11094,99,0.6,25,0.15,9,0.05,10,0.06,2,0.01,7,0.04,1,0.01,3,0.02,0,0,0,0,2,0.01,1,0.01,3,0.02,0,0,0,0,2,0.01,0,0,0,0,164
106i_AR_1_MYS_2_M_11132_PRD.txt.json,Argumentative,MYS,NA,A2,1,11132,95,0.67,4,0.03,5,0.04,6,0.04,6,0.04,8,0.06,1,0.01,6,0.04,0,0,0,0,2,0.01,0,0,3,0.02,0,0,0,0,6,0.04,0,0,0,0,142
106i_AR_1_CHN_1_F_10210_PRD.txt.json,Argumentative,CHN,80,B1_2,1,10210,98,0.66,6,0.04,11,0.07,10,0.07,1,0.01,3,0.02,1,0.01,7,0.05,0,0,1,0.01,3,0.02,0,0,1,0.01,0,0,0,0,7,0.05,0,0,0,0,149
106i_AR_1_CHN_1_M_10144_PRD.txt.json,Argumentative,CHN,83,B1_2,1,10144,106,0.56,18,0.1,4,0.02,39,0.21,5,0.03,3,0.02,1,0.01,6,0.03,0,0,0,0,0,0,0,0,3,0.02,0,0,0,0,4,0.02,0,0,0,0,189
106i_AR_1_MYS_2_M_10757_PRD.txt.json,Argumentative,MYS,100,B2,1,10757,107,0.71,8,0.05,6,0.04,14,0.09,3,0.02,0,0,1,0.01,3,0.02,0,0,0,0,0,0,2,0.01,1,0.01,0,0,0,0,6,0.04,0,0,0,0,151
106i_AR_F_KOR_1_M_10078_PRD.txt.json,Argumentative,KOR,NA,A2,1,10078,116,0.56,10,0.05,10,0.05,16,0.08,3,0.01,3,0.01,0,0,15,0.07,0,0,4,0.02,4,0.02,3,0.01,5,0.02,0,0,0,0,17,0.08,0,0,0,0,206
106i_AR_F_IND_1_M_10610_PRD.txt.json,Argumentative,IND,NA,A2,F,10610,121,0.62,12,0.06,10,0.05,14,0.07,9,0.05,7,0.04,0,0,10,0.05,0,0,0,0,2,0.01,0,0,3,0.02,0,0,0,0,7,0.04,0,0,0,0,195
106i_AR_1_CHN_2_M_10171_PRD.txt.json,Argumentative,CHN,89,B2,1,10171,121,0.71,2,0.01,6,0.04,16,0.09,5,0.03,4,0.02,0,0,5,0.03,0,0,1,0.01,3,0.02,0,0,2,0.01,0,0,0,0,5,0.03,0,0,0,0,170
106i_AR_1_CHN_1_M_10336_PRD.txt.json,Argumentative,CHN,92,B2,1,10336,73,0.6,10,0.08,9,0.07,2,0.02,0,0,3,0.02,0,0,11,0.09,0,0,0,0,7,0.06,0,0,0,0,0,0,0,0,7,0.06,0,0,0,0,122
105_AR_F_USA_NA_NA_10628_NAU.txt.json,Argumentative,USA,NA,C2,F,10628,254,0.67,28,0.07,8,0.02,40,0.11,9,0.02,8,0.02,1,0,5,0.01,0,0,3,0.01,5,0.01,1,0,4,0.01,0,0,0,0,14,0.04,0,0,0,0,380
106i_AR_1_CHN_1_F_10832_PRD.txt.json,Argumentative,CHN,89,B2,1,10832,87,0.63,8,0.06,11,0.08,6,0.04,1,0.01,2,0.01,2,0.01,3,0.02,0,0,1,0.01,6,0.04,0,0,2,0.01,0,0,0,0,10,0.07,0,0,0,0,139
105_AR_F_NAN_NA_NA_10600_NAU.txt.json,Argumentative,NAN,NA,A2,F,10600,315,0.64,12,0.02,35,0.07,46,0.09,15,0.03,5,0.01,0,0,17,0.03,0,0,1,0,11,0.02,5,0.01,8,0.02,0,0,0,0,23,0.05,0,0,0,0,493
106i_AR_F_CHN_1_M_10860_PRD.txt.json,Argumentative,CHN,90,B2,1,10860,156,0.72,12,0.06,11,0.05,12,0.06,5,0.02,3,0.01,1,0,8,0.04,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0.03,0,0,0,0,216
106i_AR_1_CHN_3_F_10054_PRD.txt.json,Argumentative,CHN,97,B2,1,10054,70,0.6,6,0.05,8,0.07,18,0.16,0,0,2,0.02,1,0.01,1,0.01,0,0,0,0,4,0.03,0,0,3,0.03,0,0,0,0,3,0.03,0,0,0,0,116
106i_AR_1_HKG_3_F_11003_PRD.txt.json,Argumentative,HKG,79,B1_2,1,11003,107,0.77,10,0.07,11,0.08,4,0.03,3,0.02,0,0,0,0,2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.01,0,0,0,0,139
106i_AR_1_BGD_2_F_11127_PRD.txt.json,Argumentative,BGD,NA,A2,1,11127,68,0.75,4,0.04,6,0.07,10,0.11,0,0,0,0,0,0,2,0.02,0,0,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
106i_AR_1_CHN_1_F_10434_PRD.txt.json,Argumentative,CHN,94,B2,1,10434,77,0.58,14,0.11,6,0.05,20,0.15,1,0.01,5,0.04,0,0,4,0.03,0,0,4,0.03,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,132
106i_AR_F_CHN_1_F_11119_PRD.txt.json,Argumentative,CHN,NA,A2,1,11119,91,0.63,12,0.08,9,0.06,12,0.08,1,0.01,4,0.03,0,0,6,0.04,0,0,0,0,3,0.02,1,0.01,2,0.01,0,0,0,0,4,0.03,0,0,0,0,145
