file,Essay Type,Country,Level,Temporal N,Temporal %,Contingency N,Contingency %,Comparison N,Comparison %,Expansion N,Expansion %,total lines
106i_AR_1_MYS_2_M_10379_PRD.txt.pipe,Jobs,6i_,_M_1,6,0.22,4,0.15,10,0.37,7,0.26,27
106i_AR_F_CHN_1_F_10087_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.18,6,0.35,5,0.29,3,0.18,17
106i_AR_1_IND_1_M_11031_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.12,7,0.44,3,0.19,4,0.25,16
106i_AR_1_CHN_1_M_10284_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.17,9,0.31,7,0.24,8,0.28,29
106i_AR_F_MYS_2_M_11132_PRD.txt.pipe,Jobs,6i_,_M_1,9,0.32,9,0.32,5,0.18,5,0.18,28
106i_AR_1_CHN_1_F_10058_PRD.txt.pipe,Jobs,6i_,_F_1,1,0.25,1,0.25,0,0.0,2,0.5,4
106i_AR_F_CHN_1_M_10485_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.28,7,0.28,6,0.24,5,0.2,25
105_AR_F_NAN_NA_NA_10572_NAU.txt.pipe,Jobs,5_A,_NA_,16,0.24,16,0.24,13,0.19,22,0.33,67
106i_AR_F_CHN_1_F_10501_PRD.txt.pipe,Jobs,6i_,_F_1,2,0.07,10,0.36,2,0.07,14,0.5,28
106i_AR_1_CHN_1_F_10778_PRD.txt.pipe,Jobs,6i_,_F_1,8,0.35,3,0.13,3,0.13,9,0.39,23
106i_AR_1_CHN_1_F_10003_PRD.txt.pipe,Jobs,6i_,_F_1,2,0.11,7,0.39,5,0.28,4,0.22,18
106i_AR_1_CHN_1_F_10682_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.32,7,0.37,3,0.16,3,0.16,19
106i_AR_F_MYS_2_M_10383_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.2,9,0.26,3,0.09,16,0.46,35
106i_AR_F_ECU_1_F_10253_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.07,8,0.19,10,0.24,21,0.5,42
106i_AR_1_BRA_1_F_10178_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.12,16,0.31,6,0.12,23,0.45,51
105_AR_F_USA_NA_NA_10724_NAU.txt.pipe,Jobs,5_A,_NA_,16,0.36,8,0.18,8,0.18,12,0.27,44
106i_AR_F_CHN_1_F_10207_PRD.txt.pipe,Jobs,6i_,_F_1,1,0.03,16,0.5,3,0.09,12,0.38,32
106i_AR_1_CHN_1_M_10333_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.04,11,0.41,7,0.26,8,0.3,27
105_AR_F_NAN_NA_NA_10605_NAU.txt.pipe,Jobs,5_A,_NA_,6,0.12,7,0.13,15,0.29,24,0.46,52
106i_AR_F_MYS_1_F_10712_PRD.txt.pipe,Jobs,6i_,_F_1,5,0.26,4,0.21,3,0.16,7,0.37,19
105_AR_F_NAN_NA_NA_10577_NAU.txt.pipe,Jobs,5_A,_NA_,6,0.12,15,0.31,7,0.14,21,0.43,49
106i_AR_F_CHN_1_F_11166_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.21,3,0.16,5,0.26,7,0.37,19
105_AR_F_USA_NA_NA_10680_NAU.txt.pipe,Jobs,5_A,_NA_,36,0.37,29,0.3,9,0.09,23,0.24,97
