file,Essay Type,Country,Level,Elaboration N,Elaboration %,Same-Unit N,Same-Unit %,Attribution N,Attribution %,Joint N,Joint %,Enablement N,Enablement %,Background N,Background %,Comparison N,Comparison %,Contrast N,Contrast %,Manner-Means N,Manner-Means %,Temporal N,Temporal %,Condition N,Condition %,Summary N,Summary %,Cause N,Cause %,Topic-Comment N,Topic-Comment %,Evaluation N,Evaluation %,Explanation N,Explanation %,Textual-Organization N,Textual-Organization %,Topic-Change N,Topic-Change %,Comparison N,Comparison %,total lines
W_IDN_PTJ0_183_B1_1.txt.json.edus.parse,Jobs,IDN,B1_1,5,0.2,3,0.12,2,0.08,1,0.04,2,0.08,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,7,0.28,0,0.0,0,0.0,0,0.0,0,0.0,4,0.16,0,0.0,0,0.0,0,0.0,25
W_JPN_SMK0_226_A2_0.txt.json.edus.parse,Smoking,JPN,A2_0,10,0.36,2,0.07,3,0.11,0,0.0,1,0.04,3,0.11,0,0.0,2,0.07,0,0.0,0,0.0,7,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28
W_JPN_PTJ0_305_B1_1.txt.json.edus.parse,Jobs,JPN,B1_1,7,0.23,3,0.1,4,0.13,3,0.1,1,0.03,2,0.06,0,0.0,2,0.06,2,0.06,1,0.03,6,0.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31
W_JPN_PTJ0_363_A2_0.txt.json.edus.parse,Jobs,JPN,A2_0,12,0.36,3,0.09,5,0.15,3,0.09,2,0.06,0,0.0,0,0.0,3,0.09,2,0.06,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,33
W_SIN_SMK0_051_B1_2.txt.json.edus.parse,Smoking,SIN,B1_2,11,0.38,4,0.14,4,0.14,3,0.1,2,0.07,1,0.03,0,0.0,2,0.07,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29
W_PHL_SMK0_013_B1_1.txt.json.edus.parse,Smoking,PHL,B1_1,13,0.34,7,0.18,6,0.16,4,0.11,2,0.05,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.05,0,0.0,0,0.0,2,0.05,0,0.0,0,0.0,0,0.0,38
W_PHL_PTJ0_016_B1_2.txt.json.edus.parse,Jobs,PHL,B1_2,12,0.34,10,0.29,1,0.03,7,0.2,3,0.09,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,35
W_HKG_PTJ0_045_B2_0.txt.json.edus.parse,Jobs,HKG,B2_0,5,0.19,7,0.26,5,0.19,3,0.11,2,0.07,2,0.07,0,0.0,2,0.07,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27
W_CHN_SMK0_388_B1_2.txt.json.edus.parse,Smoking,CHN,B1_2,8,0.28,4,0.14,3,0.1,6,0.21,2,0.07,5,0.17,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29
W_CHN_SMK0_353_B2_0.txt.json.edus.parse,Smoking,CHN,B2_0,6,0.19,5,0.16,7,0.22,8,0.25,4,0.12,0,0.0,0,0.0,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32
